Molecule ChEMBL ID,Standard_Value,Standard Units,Standard Type,canon_smiles,pIC50
CHEMBL3653180,0.2,nM,IC50,COc1ccc(C#N)cc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1)N(c1cc(Cl)ccc1C)C2=O,9.698970004336019
CHEMBL4586161,10300.0,nM,IC50,CC(=O)NC(CC(C)C)CN(CC(=O)NC(Cc1ccccc1)CN(CC(=O)NC(CCC(=O)O)CN(CC(=O)NC(Cc1c[nH]c2ccccc12)CN(CC(=O)NC(CCCCN)CN(CC(=O)NC(CC(C)C)CN(CC(N)=O)S(=O)(=O)CC(C)C)S(C)(=O)=O)S(C)(=O)=O)S(C)(=O)=O)S(C)(=O)=O)S(C)(=O)=O,4.987162775294828
CHEMBL3649893,5.0,nM,IC50,CC1CCC(Cn2c(N3CC(O)CC4CCCCC43)nc3cc(-c4noc(=O)[nH]4)nc(-c4cncc(Cl)c4)c32)CC1,8.301029995663981
CHEMBL4460091,3950.0,nM,IC50,CC(=O)NC(CC(C)C)CN(CC(=O)NC(Cc1ccccc1)CN(CC(=O)NC(CCC(=O)O)CN(CC(=O)NC(Cc1c[nH]c2ccccc12)CN(CC(=O)NC(CCCCN)CN(CC(=O)NC(CC(C)C)CN(CC(=O)NC(C)CN(CC(N)=O)S(C)(=O)=O)S(=O)(=O)CC(C)C)S(C)(=O)=O)S(C)(=O)=O)S(C)(=O)=O)S(C)(=O)=O)S(C)(=O)=O,5.403402904373539
CHEMBL3650020,5.0,nM,IC50,CCOC(COC)c1nc2cc(-c3noc(=O)[nH]3)nc(-c3cncc(Cl)c3)c2n1C(C)C1CCC(C)CC1,8.301029995663981
CHEMBL3675211,3760.0,nM,IC50,O=C1c2ccc(F)cc2C(O)(c2ccc(Cl)cc2)N1Cc1ccc([N+](=O)[O-])cc1,5.424812155072339
CHEMBL4111476,1000.0,nM,IC50,CC(C)(C)CC1NC(C(=O)NC2CCC(OC(=O)CN)CC2)C(c2cccc(Cl)c2F)C12C(=O)Nc1cc(Cl)ccc12,6.0
CHEMBL3649854,11.0,nM,IC50,Cc1noc(C)c1C1CCCN1c1nc2cc(-c3noc(=O)[nH]3)nc(-c3cncc(Cl)c3)c2n1CC1CCC(C)CC1,7.958607314841775
CHEMBL3650001,1.0,nM,IC50,CC1CCC(Cn2c(N3CCOC4CCCC43)nc3c(Cl)c(-c4noc(=O)[nH]4)nc(-c4cncc(Cl)c4)c32)CC1,9.0
CHEMBL2347385,1800.0,nM,IC50,O=C1COC(c2cccc(Cl)c2)C(c2ccc(Cl)cc2)N1CC1CC1,5.7447274948966935
CHEMBL3649984,11.0,nM,IC50,Cc1cccnc1C(C)(F)c1nc2cc(-c3noc(=O)[nH]3)nc(-c3cncc(Cl)c3)c2n1CC1CCC(C)CC1,7.958607314841775
CHEMBL2381404,313.0,nM,IC50,CSCCC(NC(=O)C(Cc1ccccc1)NC(=O)C(CCCNC(=N)N)NC(=O)C1CCCN1C(=O)C(CCSC)NC(C)=O)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CCC(=O)O)C(=O)NCC(=O)NC(CC(C)C)C(=O)NC(CC(N)=O)C(N)=O,6.504455662453552
CHEMBL2347392,7400.0,nM,IC50,O=C(O)CC1OC(c2cccc(Cl)c2)C(c2ccc(Cl)cc2)N(CC2CC2)C1=O,5.130768280269024
CHEMBL2347402,30000.0,nM,IC50,CN1C(=O)C(Cc2ccccc2)OC(c2ccc(Br)cc2)C1c1ccc(Br)cc1,4.522878745280337
